ID,Type,Name,Documentation
,BusinessActor,Service Owner,"The Service Owner is responsible for delivering a particular service within the agreed service levels., Typically, he acts as the counterpart of the Service Level Manager when negotiating Operational Level Agreements (OLAs)., Often, the Service Owner will lead a team of technical specialists or an internal support unit."
,BusinessActor,Supplier Manager,"The Supplier Manager is responsible for ensuring that value for money is obtained from all suppliers., He makes sure that contracts with suppliers support the needs of the business, and that all suppliers meet their contractual commitments."
,BusinessActor,Technical Analyst,"The Technical Analyst is a Technical Management role which provides technical expertise and support for the management of the IT infrastructure., There is typically one Technical Analyst or team of analysts for every key technology area., This role plays an important part in the technical aspects of designing, testing, operating and improving IT services., It is also responsible for developing the skills required to operate the IT infrastructure., ITIL roles and boards - Service Transition"
,BusinessActor,Application Developer,"The Application Developer is responsible for making available applications and systems which provide the required functionality for IT services., This includes the development and maintenance of custom applications as well as the customization of products from software vendors."
,BusinessActor,Change Advisory Board (CAB),"A group of people that advises the Change Manager in the assessment, prioritization and scheduling of Changes., This board is usually made up of representatives from all areas within the IT organization, the business, and third parties such as suppliers."
,BusinessActor,Change Manager,"The Change Manager controls the lifecycle of all Changes., His primary objective is to enable beneficial Changes to be made, with minimum disruption to IT services., For important Changes, the Change Manager will refer the authorization of Changes to the Change Advisory Board (CAB)."
,BusinessActor,Configuration Manager,"The Configuration Manager is responsible for maintaining information about Configuration Items required to deliver IT services., To this end he maintains a logical model, containing the components of the IT infrastructure (CIs) and their associations., Emergency Change Advisory Board (ECAB), A sub-set of the Change Advisory Board who makes decisions about high impact Emergency Changes., Membership of the ECAB may be decided at the time a meeting is called, and depends on the nature of the Emergency Change."
,BusinessActor,Knowledge Manager,"The Knowledge Manager ensures that the IT organization is able to gather, analyze, store and share knowledge and information., His primary goal is to improve efficiency by reducing the need to rediscover knowledge."
,BusinessActor,Project Manager,"The Project Manager is responsible for planning and coordinating the resources to deploy a major Release within the predicted cost, time and quality estimates., The Release Manager is responsible for planning and controlling the movement of Releases to test and live environments."
,BusinessActor,Release Manager,The Release Manager is responsible for planning and controlling the movement of Releases to test and live environments.
,BusinessActor,Test Manager,"The Test Manager ensures that deployed Releases and the resulting services meet customer expectations, and verifies that IT operations is able to support the new service., ITIL roles and boards - Service Operation"
,BusinessActor,1st Level Support,"The responsibility of 1st Level Support is to register and classify received Incidents and to undertake an immediate effort in order to restore a failed IT service as quickly as possible., If no ad-hoc solution can be achieved, 1st Level Support will transfer the Incident to expert technical support groups (2nd Level Support)., 1st Level Support also processes Service Requests and keeps users informed about their Incidents' status at agreed intervals."
,BusinessActor,2nd Level Support,"2nd Level Support takes over Incidents which cannot be solved immediately with the means of 1st Level Support., If necessary, it will request external support, e.g. from software or hardware manufacturers., The aim is to restore a failed IT Service as quickly as possible."
,BusinessActor,3rd Level Support,"3rd Level Support is typically located at hardware or software manufacturers (third-party suppliers)., Its services are requested by 2nd Level Support if required for solving an Incident., The aim is to restore a failed IT Service as quickly as possible."
,BusinessActor,Access Manager,"The Access Manager grants authorized users the right to use a service, while preventing access to non-authorized users., The Access Manager essentially executes policies defined in Information Security Management."
,BusinessActor,Facilities Manager,"The Facilities Manager is responsible for managing the physical environment where the IT infrastructure is located., This includes all aspects of managing the physical environment, for example power and cooling, building access management, and environmental monitoring."
,BusinessActor,Incident Manager,"The Incident Manager is responsible for the effective implementation of the Incident Management process and carries out the corresponding reporting., He represents the first stage of escalation for Incidents, should these not be resolvable within the agreed Service Levels."
,BusinessActor,IT Operations Manager,"An IT Operations Manager will be needed to take overall responsibility for a number of Service Operation activities., For instance, this role will ensure that all day-to-day operational activities are carried out in a timely and reliable way."
,BusinessActor,IT Operator,"IT Operators are the staff who perform the day-to-day operational activities., Typical responsibilities include: Performing backups, ensuring that scheduled jobs are performed, installing standard equipment in the data center."
,BusinessActor,Major Incident Team,"A dynamically established team of IT managers and technical experts, usually under the leadership of the Incident Manager, formulated to concentrate on the resolution of a Major Incident."
,BusinessActor,Problem Manager,"The Problem Manager is responsible for managing the lifecycle of all Problems., His primary objectives are to prevent Incidents from happening, and to minimize the impact of Incidents that cannot be prevented., To this purpose he maintains information about Known Errors and Workarounds."
,BusinessActor,Service Request Fulfilment Group,"Service Request Fulfilment Groups specialize on the fulfillment of certain types of Service Requests., Typically, 1st Level Support will process simpler requests, while others are forwarded to the specialized Fulfilment Groups., ITIL roles - Continual Service Improvement"
,BusinessActor,CSI Manager,"The Continual Service Improvement (CSI) Manager is responsible for managing improvements to IT Service Management processes and IT services., He will continually measure the performance of the service provider and design improvements to processes, services and infrastructure in order to increase efficiency, effectiveness, and cost effectiveness."
,BusinessActor,Process Architect,"The Process Architect is responsible for maintaining the Process Architecture (part of the Enterprise Architecture), coordinating all changes to processes and making sure that all processes cooperate in a seamless way., This role often also supports all parties involved in managing and improving processes, in particular the Process Owners. Some organizations combine this role with the Enterprise Architect role."
,BusinessActor,Process Owner,"A role responsible for ensuring that a process is fit for purpose., The Process Owner’s responsibilities include sponsorship, design, and continual improvement of the process and its metrics., In larger organizations there might be separate Process Owner and Process Manager roles, where the Process Manager has responsibility for the operational management of a process., ITIL roles outside the IT organization"
,BusinessActor,Customer,"Someone who buys IT services., The Customer of an IT service provider is the person or group who defines and agrees the service level targets."
,BusinessActor,Service User,"A person who uses one or several IT services on a day-to-day basis. Service Users are distinct from Customers, as some Customers do not use IT services directly., "
