"ID","Type","Name","Documentation"
"e01f1539","BusinessActor","Change Advisory Board (CAB)","A group of people that advises the Change Manager in the assessment, prioritization and scheduling of Changes., This board is usually made up of representatives from all areas within the IT organization, the business, and third parties such as suppliers."
"44d5066e","BusinessActor","Change Manager","The Change Manager controls the lifecycle of all Changes., His primary objective is to enable beneficial Changes to be made, with minimum disruption to IT services., For important Changes, the Change Manager will refer the authorization of Changes to the Change Advisory Board (CAB)."
"13224895","BusinessActor","Compliance Manager","The Compliance Manager's responsibility is to ensure that standards and guidelines is followed, or that proper, consistent accounting or other practices are being employed., This includes to make sure that external legal requirements are fulfilled."
"1ed4c65d","BusinessActor","Configuration Manager","The Configuration Manager is responsible for maintaining information about Configuration Items required to deliver IT services., To this end he maintains a logical model, containing the components of the IT infrastructure (CIs) and their associations., Emergency Change Advisory Board (ECAB), A sub-set of the Change Advisory Board who makes decisions about high impact Emergency Changes., Membership of the ECAB may be decided at the time a meeting is called, and depends on the nature of the Emergency Change."
"650606f9","BusinessActor","CSI Manager","The Continual Service Improvement (CSI) Manager is responsible for managing improvements to IT Service Management processes and IT services., He will continually measure the performance of the service provider and design improvements to processes, services and infrastructure in order to increase efficiency, effectiveness, and cost effectiveness."
"05aa2d99","BusinessActor","Customer","Someone who buys IT services., The Customer of an IT service provider is the person or group who defines and agrees the service level targets."
"0d52ee63","BusinessActor","Demand Manager","The role Demand Manager has been introduced in ITIL 2011 to perform the activities in the Demand Management process., The Demand Manager is responsible for understanding, anticipating and influencing customer demand for services., The Demand Manager works with capacity management to ensure that the service provider has sufficient capacity to meet the required demand."
"85b9094d","BusinessActor","Enterprise Architect","The Enterprise Architect is responsible for maintaining the Enterprise Architecture (EA), a description of the essential components of a business, including their interrelationships., Bigger organizations may opt to introduce specialist EA roles like Business Architect, Application Architect, Information Architect, or Infrastructure Architect."
"0e827a0e","BusinessActor","Facilities Manager","The Facilities Manager is responsible for managing the physical environment where the IT infrastructure is located., This includes all aspects of managing the physical environment, for example power and cooling, building access management, and environmental monitoring."
"74d2ddcd","BusinessActor","Financial Manager","The Financial Manager is responsible for managing an IT service provider's budgeting, accounting and charging requirements."
"98b01666","BusinessActor","Fulfiller",""
"530c65f7","BusinessActor","Incident Manager","The Incident Manager is responsible for the effective implementation of the Incident Management process and carries out the corresponding reporting., He represents the first stage of escalation for Incidents, should these not be resolvable within the agreed Service Levels."
"cc8556e2","BusinessActor","Information Security Manager","The Information Security Manager is responsible for ensuring the confidentiality, integrity and availability of an organization’s assets, information, data and IT services., He is usually involved in an organizational approach to Security Management which has a wider scope than the IT service provider, and includes handling of paper, building access, phone calls etc., for the entire organization."
"673573d0","BusinessActor","IT Operations Manager","An IT Operations Manager will be needed to take overall responsibility for a number of Service Operation activities., For instance, this role will ensure that all day-to-day operational activities are carried out in a timely and reliable way."
"1f269918","BusinessActor","IT Operator","IT Operators are the staff who perform the day-to-day operational activities., Typical responsibilities include: Performing backups, ensuring that scheduled jobs are performed, installing standard equipment in the data center."
"65ff89e4","BusinessActor","IT Service Continuity Manager","The IT Service Continuity Manager is responsible for managing risks that could seriously impact IT services., He ensures that the IT service provider can provide minimum agreed service levels in cases of disaster, by reducing the risk to an acceptable level and planning for the recovery of IT services."
"1b2201ac","BusinessActor","IT Steering Group (ISG)  ","The IT Steering Group (ISG) sets the direction and strategy for IT Services. It includes members of senior management from business and IT. The IT Steering Group reviews the business and IT strategies in order to make sure that they are aligned. It also sets priorities of service development programs/ projects.
"
"6017bf04","BusinessActor","IT Steering Group (ISG)","The IT Steering Group (ISG) sets the direction and strategy for IT Services. It includes members of senior management from business and IT., The ISG reviews the business and IT strategies in order to make sure that they are aligned., It also sets priorities of service development programs/ projects."
"8ec4fb68","BusinessActor","Knowledge Manager","The Knowledge Manager ensures that the IT organization is able to gather, analyze, store and share knowledge and information., His primary goal is to improve efficiency by reducing the need to rediscover knowledge."
"766c86a5","BusinessActor","Major Incident Team","A dynamically established team of IT managers and technical experts, usually under the leadership of the Incident Manager, formulated to concentrate on the resolution of a Major Incident."
"da1f1230","BusinessActor","Problem Manager","The Problem Manager is responsible for managing the lifecycle of all Problems., His primary objectives are to prevent Incidents from happening, and to minimize the impact of Incidents that cannot be prevented., To this purpose he maintains information about Known Errors and Workarounds."
"3b3ddeb2","BusinessActor","Process Architect","The Process Architect is responsible for maintaining the Process Architecture (part of the Enterprise Architecture), coordinating all changes to processes and making sure that all processes cooperate in a seamless way., This role often also supports all parties involved in managing and improving processes, in particular the Process Owners. Some organizations combine this role with the Enterprise Architect role."
"50b4f1fc","BusinessActor","Process Owner","A role responsible for ensuring that a process is fit for purpose., The Process Owner’s responsibilities include sponsorship, design, and continual improvement of the process and its metrics., In larger organizations there might be separate Process Owner and Process Manager roles, where the Process Manager has responsibility for the operational management of a process., ITIL roles outside the IT organization"
"b948138c","BusinessActor","Project Manager","The Project Manager is responsible for planning and coordinating the resources to deploy a major Release within the predicted cost, time and quality estimates., The Release Manager is responsible for planning and controlling the movement of Releases to test and live environments."
"b61c86b2","BusinessActor","Release Manager","The Release Manager is responsible for planning and controlling the movement of Releases to test and live environments."
"6db30003","BusinessActor","Requester",""
"a15894e7","BusinessActor","Risk Manager","The Risk Manager is responsible for identifying, assessing and controlling risks., This includes analyzing the value of assets to the business, identifying threats to those assets, and evaluating how vulnerable each asset is to those threats."
"d9eee3a2","BusinessActor","Service Catalogue Manager","The Service Catalogue Manager is responsible for maintaining the Service Catalogue, ensuring that all information within the Service Catalogue is accurate and up-to-date."
"7430b38a","BusinessActor","Service Consumer","Party 1 in Contract
"
"ad584f18","BusinessActor","Service Design Manager","The Service Design Manager is responsible for producing quality, secure and resilient designs for new or improved services., This includes producing and maintaining all design documentation."
"3792f150","BusinessActor","Service Level Manager","The Service Level Manager is responsible for negotiating Service Level Agreements and ensuring that these are met., He makes sure that all IT Service Management processes, Operational Level Agreements and Underpinning Contracts are appropriate for the agreed service level targets., The Service Level Manager also monitors and reports on service levels."
"2411066d","BusinessActor","Service Owner",""
"fac3ea99","BusinessActor","Service Owner","The Service Owner is responsible for delivering a particular service within the agreed service levels., Typically, he acts as the counterpart of the Service Level Manager when negotiating Operational Level Agreements (OLAs)., Often, the Service Owner will lead a team of technical specialists or an internal support unit."
"4685baaa","BusinessActor","Service Portfolio Manager","The Service Portfolio Manager decides on a strategy to serve customers in cooperation with the IT Steering Group, and develops the service provider's offerings and capabilities.
"
"fceed450","BusinessActor","Service Portfolio Manager","The Service Portfolio Manager decides on a strategy to serve customers in cooperation with the IT Steering Group, and develops the service provider's offerings and capabilities."
"75d26025","BusinessActor","Service Provider","Party 2 in Contract
"
"1fd9a8fa","BusinessActor","Service Request Fulfilment Group","Service Request Fulfilment Groups specialize on the fulfillment of certain types of Service Requests., Typically, 1st Level Support will process simpler requests, while others are forwarded to the specialized Fulfilment Groups., ITIL roles - Continual Service Improvement"
"c7706792","BusinessActor","Service Strategy Manager","The Service Strategy Manager supports the IT Steering Group in producing and maintaining the service provider's strategy., This role is also responsible for communicating and implementing the service strategy., The Service Strategy Manager has been introduced as a new role in ITIL 2011."
"7437c0c2","BusinessActor","Service User","A person who uses one or several IT services on a day-to-day basis. Service Users are distinct from Customers, as some Customers do not use IT services directly., "
"d0f75ceb","BusinessActor","Supplier Manager","The Supplier Manager is responsible for ensuring that value for money is obtained from all suppliers., He makes sure that contracts with suppliers support the needs of the business, and that all suppliers meet their contractual commitments."
"6f74ed73","BusinessActor","Technical Analyst","The Technical Analyst is a Technical Management role which provides technical expertise and support for the management of the IT infrastructure., There is typically one Technical Analyst or team of analysts for every key technology area., This role plays an important part in the technical aspects of designing, testing, operating and improving IT services., It is also responsible for developing the skills required to operate the IT infrastructure., ITIL roles and boards - Service Transition"
"b2ba5d2a","BusinessActor","Test Manager","The Test Manager ensures that deployed Releases and the resulting services meet customer expectations, and verifies that IT operations is able to support the new service., ITIL roles and boards - Service Operation"
"e75d2fbb","BusinessCollaboration","Negotiate terms and conditions",""
"fbbacaec","BusinessEvent","Award Proposal",""
"ae20d337","BusinessEvent","Demand for new SmartAgreement",""
"8ab7086b","BusinessEvent","Issue RFP",""
"ff0d153e","BusinessEvent","Selection",""
"7e1dcbf0","BusinessEvent","Submit Request",""
"5aa5a6d6","BusinessFunction","Allocate IT Costs",""
"cb7c283c","BusinessFunction","Budget Allocation  ","A budget allocated by the Financial Manager to implement a Change. Budget Allocations are issued in response to Budget Requests originating from any Service Management process in conjunction with Requests for Change.
"
"2a8704f6","BusinessFunction","Calculate usage cost (invoice)",""
"486578b3","BusinessFunction","Clearing",""
"e09b940b","BusinessFunction","Design SmartAgreement Offering",""
"645a9cba","BusinessFunction","Forecacsting",""
"f1d5788e","BusinessFunction","Planning",""
"713fcea4","BusinessFunction","Procurement",""
"78435270","BusinessFunction","Variance Analysis",""
"8788c92a","BusinessInteraction","Solicitation",""
"1dca85ea","BusinessInterface","Service Desk",""
"17b6b911","BusinessObject","Allocation Model",""
"9d410e42","BusinessObject","Bill of IT",""
"597461b6","BusinessObject","Budget Request  ","A request for a budget, typically issued from any of the Service Management processes at the same time when compiling a Request for Change. An approved Budget Request means that the required financial resources for implementing a Change are approved by Financial Management.

"
"c5f889f7","BusinessObject","Change Proposal  ","A Change Proposal describes a proposed major Change, like the introduction of a new service or a substantial change to an existing service. The purpose of Change Proposals is to communicate a proposed major Change and assess its risk, impact and feasibility before design activities begin. Change Proposals are typically created in Service Portfolio Management.
"
"2fbfd0a8","BusinessObject","Clearance",""
"6c1f245d","BusinessObject","Communication",""
"6e424f1c","BusinessObject","Cost Data for Service Provisioning  ","The cost for providing a service, calculated by Financial Management as a basis for calculating the price a customer is expected to pay for a service.
"
"cf29a9c2","BusinessObject","Costing Model",""
"cb999f8f","BusinessObject","Duration",""
"5fa46d99","BusinessObject","Financial Analysis  ","The Financial Analysis is an important input to the Portfolio Management process. It contains information on the costs for providing services and provides insight into the profitability of services and customers (see also: ITIL Checklist Financial Analysis).
"
"844d3c5c","BusinessObject","Financial Data Categories  ","Various categories are used to structure financial data, as a means to gain insight into the underlying costs of service provisioning and service profitability.
"
"61df495a","BusinessObject","General Ledger",""
"8ef3ae4e","BusinessObject","Interfaces",""
"9404db4b","BusinessObject","Invoice  ","The invoice for the delivery of a service or product.
"
"fcbad65f","BusinessObject","IT Budget  ","The IT Budget is an annual financial plan that provides a forecast of expected expenditures and allocates financial resources to the various service management processes and organizational units within the IT organization.
"
"33378635","BusinessObject","IT Service Invoice",""
"c4c07ae3","BusinessObject","Proposal",""
"bfeb7a68","BusinessObject","Request for Proposal",""
"a329fc5a","BusinessObject","Service",""
"bbd4d740","BusinessObject","Service Charter  ","The Service Charter is a high-level description of a new or substantially changed service and the approach to build that service. In particular, the Service Charter outlines the deliverables to be created during the service implementation project, the required resources, and an initial project schedule. Service Charters are passed to Service Design to initiate the detailed design of the new or changed service. (Note: New output in ITIL 2011.)
"
"27669129","BusinessObject","Service Model  ","A Service Model is a high-level description of a service and the components required to deliver that service. The main purpose of Service Models is to facilitate an understanding of what service components, assets and other resources are necessary to create the service, including their interactions. Service Models are a valuable tool for understanding the impact of proposed new or changed services on other services at an early stage. (Note: New output in ITIL 2011.)
"
"f6856e7c","BusinessObject","Service Portfolio  ","The Service Portfolio represents a complete list of the services managed by a service provider; some of these services are visible to the customers, while others are not. It contains present contractual commitments, new service development, and ongoing service improvement plans initiated by Continual Service Improvement. It also includes third-party services which are an integral part of service offerings to customers. The Service Portfolio is divided into three phases: Service Pipeline, Service Catalogue, and Retired Services (see also: ITIL Checklist Service Portfolio).
"
"43327432","BusinessObject","Service Portfolio Review Report  ","A document containing the results and findings from a Service Portfolio Review. This report is an important input to the strategic service assessment.
"
"140eefd6","BusinessObject","Service Times",""
"408c9cc2","BusinessObject","Smart Agreement Template","The Logical Model for the Smart Agreement between two parties
This will be the base (class) for the SmAg between the contracting parties
"
"2006ac2a","BusinessObject","Supplier",""
"2eab7f76","BusinessObject","Support Levels",""
"5b3b6eeb","BusinessObject","Support Types",""
"89239ca6","BusinessProcess","Accounting","IT accounting is concerned with the amount of money spent in providing IT services. It allows an organization to perform various financial analyses to gauge the efficiency of the IT service provision and determine areas where cost savings can be made. It will also provide financial transparency to aid management in the decision making process.

direct/indirect
unabsorable overheads
TCO ROI
"
"aaa7064f","BusinessProcess","Accounting","this process enables an IT organization to account for the way its money is spent. This particularly refers to identification of costs by customer, by service or by activity. For example, accounting will answer the question “How much does e-mail service (per mailbox) cost?” Someone who pays the bill (internal or external customer) wants to know the answer. To answer such a question, IT financial management has to know of which cost-item e-mail service is build (e.g. hardware, software, people, etc.).

Accounting is a process that can be highly complex. There are some costs that are easily identifiable, but there are some costs that are usually approximated. Let’s take Service Desk resources as an example (people, technology, fixed costs). It is (usually) good enough for people working at the Service Desk to estimate time they spend on a certain service, rather than counting every minute of their activity. What I found out is that people who are paying the bills (valid for both internal as well as external customers) wants to know the structure of the costs that they are paying for. Therefore, it is crucial to have the most detailed cost structure possible for services that are billed.



An efficient accounting process increases IT service provision and defines areas where cost savings can be made (i.e. financial efficiency). There are several cost elements that accounting uses:

Capital Costs (or capital expenditure – CAPEX) – cost of purchasing something that will become a financial asset, e.g. server.
Operational Costs (or operational expenditure – OPEX) – cost incurred from running the services, e.g. electricity invoices, salary… Depending on organization’s (financial) strategy, CAPEX and OPEX can be governed. Cloud services are an example. Organization can shift capital expenditure (investing in own data centre infrastructure) to operational expenditure (monthly fee for resources required) by using cloud services instead of its own.
Direct Costs – costs that can be directly applied to a certain service or customer, e.g. purchase of a server that will be used for one particular service.
Indirect Costs – costs that cannot be directly allocated to a particular service or customer, e.g. SW licence for server which runs several applications or serves several customers.
Fixed Costs – costs that don’t change with IT service usage or in the short-term, e.g. annual lease contract.
Variable Costs – costs that vary in the short-term depending how much service is used, e.g. energy consumed to run servers."
"7209ac7f","BusinessProcess","Activity based costing",""
"662f83b8","BusinessProcess","Approve new or changed Services  ","Process Objective: To submit a formal Change Proposal to Change Management, and to initiate the design stage for the new or changed service if the Change Proposal is authorized.
"
"7e548be9","BusinessProcess","Assigned ",""
"840db1bf","BusinessProcess","Budgeting","this process plans income and expenditure of money for an organization. Planning is done periodically (usually once a year). Planning is important because it decreases risk of over-spending in the future. The same process controls income and costs incurred on a monthly basis. This means that monthly income and monthly costs will be monitored and compared with budgeted (i.e. planned) funds. Based on that information, measures can be taken to implement corrections that will keep the budget on track.

Budgeting, as a cross-department process, usually belongs to the financial department or CFO. IT contributes for services, resources and costs. It occurs once a year and usually includes the running business year, the next year and even more. I know that it is hard to know what will happen in the next, say, two years; but, even so, budgeting for the next few years defines the strategic development of an organization."
"caf068a1","BusinessProcess","Budgetting","Budgeting enables an organization to plan future IT expenditures, reducing the risk of over-spending and ensuring the revenues are available to cover the predicted spend. Additionally, budgeting allows an organization to compare actual costs with previously predicted costs in order to improve the reliability of budgeting predictions.

Cost types, codes
capital/revenue
fixed & variable

"
"b8c6dd55","BusinessProcess","Business Impact Analysis ",""
"ca629ab4","BusinessProcess","Canceled ",""
"1879ba42","BusinessProcess","Chargeback",""
"8ae95a75","BusinessProcess","Charging","Charging provides the ability to assign costs of an IT Service proportionally and fairly to the users of that service. It may be used as a first step towards an IT organization operating as an autonomous business. It may also be used to encourage users to move in a strategically important direction - for example by subsidizing newer systems and imposing additional charges for the use of legacy systems. Transparency of charging will encourage users to avoid expensive activities where slightly more inconvenient but far cheaper alternatives are available. For example, a user might browse a dump on screen rather than printing it off.

Charging is arguably the most complex of the three sub-processes, requiring a large investment of resources and a high degree of care to avoid anomalies, where an individual department may benefit from behavior which is detrimental to the company as a whole. Charging policy needs to be simultaneously simple, fair and realistic.

Charging need not necessarily mean money changing hands (full charging). It may take the form of information passed to management on the cost of provision of IT services (no charging), or may detail what would be charged if full charging were in place without transactions actually being applied to the financial ledgers (notional charging). Notional charging may also be used as a way of piloting full charging.

Cost, Cost plus, market rate, notional


"
"7ef131c5","BusinessProcess","Charging","is the activity whereby payment is required for services delivered. Charging requires that accounting procedures and systems exist and are set up. It makes a difference whether the organization is an internal service provider, or if it serves external customer as its main business. In the case where an IT organization is an internal service provider (according to ITIL, these are Type I and Type II organizations), it is not necessary to bill for services. Sometimes such IT organizations only allocate costs. If an IT organization sells its services to external customers (Type III organization) they will, certainly, issue bills for their services and generate income which funds that organization.

Charging for services by an organization with external customers is the only way to get funding for the organization, cover costs and generate revenue. But, in the case of an internal service provider it can be seen as bureaucratic procedure, which is true. On the other side, I found that internal charging has several advantages:

It justifies IT resources needed (increased transparency),
users throughout organization use only resources they really need (optimization of usage),
business can plan their cost of operation (which is, further on, included in price charged to their customers), and
IT has better control of its business."
"9578befa","BusinessProcess","Clearing","transmitting, reconciling and, in some cases, confirming transfer orders prior to settlement, potentially including the netting of orders and the establishment of final positions for settlement. Sometimes this term is also used (imprecisely) to cover settlement. For the clearing of futures and options, this term also refers to the daily balancing of profits and losses and the daily calculation of collateral requirements. "
"1fb660b3","BusinessProcess","Closed ",""
"64675337","BusinessProcess","Cost Analysis","Cost reports (standard, custom, ad hoc) are generated and the results are analyzed
Operational and business partner analytics performed on costing results
Compare actual output values with budgeted values"
"caddabc9","BusinessProcess","Cost Assignment","Costing relationships are developed and required calculations performed Costing relationships are developed and required calculations performed
Design and development of IT cost models
Production of cost for products, services, applications and business partners."
"6d929cd9","BusinessProcess","Data Collection ","Financial and operational data is collected, loaded and data owners identified
Review and analysis of the data collection and maintenance process
Design and implementation of data integration
Identification and selection of operational data used for cost drivers. "
"e05d2a7f","BusinessProcess","Define and Analyze new or changed Services  ","Process Objective: To define the desired outcomes of a proposed new or changed service, analyze the impacts on existing services in the Service Portfolio, and determine the assets required to offer the service.
"
"e99414cd","BusinessProcess","Define SmartAgreement Draft","Requirements Documentation"
"826eb4ba","BusinessProcess","Design Agreement",""
"8ebdc79a","BusinessProcess","Evaluate Proposals",""
"60262786","BusinessProcess","Facknowledged ",""
"f0ed961f","BusinessProcess","Financial Analysis and Reporting  ","Process Objective: To analyze the structure of service provisioning cost and the profitability of services. The resulting financial analysis allows Service Portfolio Management to make informed decisions when deciding about changes to the Service Portfolio.
"
"59228ca8","BusinessProcess","Financial Demand Modelling ",""
"836ff324","BusinessProcess","Financial Management Support","Process Objective: To define the necessary structures for the management of financial planning data and costs, as well as for the allocation of costs to services.
"
"2df4d800","BusinessProcess","Financial Planning  ","Process Objective: To determine the required financial resources over the next planning period (""IT Budget""), and to allocate those resources for optimum benefits.
"
"518b9f2e","BusinessProcess","Funding Models  Evaluation ",""
"5b059180","BusinessProcess","GAcknowledged ",""
"d9f878bd","BusinessProcess","Implement Agreement",""
"3421330b","BusinessProcess","IT Financial Management",""
"ffb42cb0","BusinessProcess","IT Financial Management","Financial Management
2.4.1 Process Overview
The Financial Management process provides the business and IT with the quantification (in financial terms) of the value of IT services, the value of the assets underlying the provisioning of those services, and the qualification of operational forecasting. It includes all function and processes responsible for managing an IT service provider's budgeting, accounting and charging policies and activities.
Key objectives of Financial Management are:
• Establishing and enforcing IT financial controls
• Ensuring compliance with legal, industry, and corporate standards and procedures
Assisting IT portfolio investment decisions by providing detailed business cases as well as financial input for decision support
• Effectively predicting and controlling IT budgets
• Providing the enterprise with operational visibility, insight, and superior decision-making.
The overriding goal of Financial Management is to provide cost effective stewardship of the IT assets and the financial resources used in providing IT services. Primarily this is to enable an organization to account fully for the financial resources consumed by the IT service provider and to attribute these costs to the services delivered to the organization’s customers.
This is accomplished by the categorization, collection and analysis of accounting, contract and pricing data including the following typical cost elements:
• Hardware and software license costs
• Annual maintenance fees for hardware and software
• Personnel resources used in the support or maintenance of a service
• Utilities, data centre or other facilities charges
• Taxes, capital or interest charges
• Compliance costs
• Transfer costs and internal charging by other business units/processes.
"
"966b73d4","BusinessProcess","Manage Business","Manage Business 
Analytics are translated into business decisions
Integration of actual cost results into the budgeting and forecasting processes
Review results with operations and business partners identifying improvement opportunities. "
"0ecbcd32","BusinessProcess","Opened ",""
"9f8e9022","BusinessProcess","Operate Agreement",""
"71b44618","BusinessProcess","Pending ",""
"b2675f32","BusinessProcess","Performnce Based Charging",""
"bc02e1bf","BusinessProcess","Requested ",""
"c4f17f85","BusinessProcess","Resolved ",""
"e9e88d47","BusinessProcess","Retire Agreement",""
"68b5fe19","BusinessProcess","Service Invoicing  ","Process Objective: To issue invoices for the provision of services and transmission of the invoice to the customer.
"
"19e1fdfd","BusinessProcess","Service Portfolio Review  ","Process Objective: To assess the Service Portfolio at regular intervals in order to ensure the service provider offers economically viable services which are aligned with the Service Strategy. This process also keeps the Service Portfolio up to date.
"
"56c32011","BusinessProcess","Service Provisioning Analysis and Optimization ",""
"f0d308e6","BusinessProcess","Service Valuation ",""
"3f2ebf53","BusinessProcess","Showback",""
"25e71bf9","BusinessProcess","Terminate Agreement",""
"c6434aa4","BusinessProcess","Update Agreement",""
"e88711ae","BusinessProcess","Variable Cost Dynamics Analysis ",""
"531870e0","BusinessProcess","Worked ",""
"96d14f95","BusinessRole","Fulfiller",""
"c633df8a","BusinessRole","Requester",""
"cd9c5819","BusinessService","Bilateral netting","an arrangement whereby two parties net their bilateral obligations
"
"cb617a48","BusinessService","IMaaS","Incident Management as a Service"
"d70dd147","BusinessService","SmartAgreement Templates",""
"d9b126b8","Contract","Service Agreement",""
"31f8173d","ApplicationComponent","Accounting",""
"05b27ce8","ApplicationComponent","Ancillary system","a system in which payments or securities are exchanged and/or cleared. Meanwhile,
the ensuing monetary obligations are settled in another system, typically an RTGS system"
"541a9e2b","ApplicationComponent","API Frontend",""
"49af0e79","ApplicationComponent","Bilateral net settlement system","a settlement system in which every individual bilateral
combination of participants settles its net settlement position on a bilateral basis."
"35d517ed","ApplicationComponent","Budeting",""
"5c4130f0","ApplicationComponent","Charging",""
"88abd8d8","ApplicationComponent","Clearing system"," a set of rules and procedures whereby financial institutions present and exchange data and/or documents relating to transfers of funds or securities to other fi nancial institutions at a single location (e.g. a clearing house). These procedures often include a mechanism for calculating participants’ mutual positions, potentially on a net basis, with a view to facilitating the settlement of their obligations in a settlement system."
"135c224c","ApplicationComponent","Deferred net settlement system","a system which settles on a net basis at the end of a predefi ned
settlement cycle (typically at the end of – but sometimes during – the business day)."
"d6ba30ec","ApplicationComponent","Groups module",""
"a3560c3b","ApplicationComponent","Mist",""
"ae8414d6","ApplicationComponent","Pricing","•Shall provide the price of consuming/subscribing to a service"
"cc03ada9","ApplicationComponent","Produce bills",""
"301749f7","ApplicationComponent","Produce invoices",""
"9d4a7175","ApplicationComponent","RTGS system","A system where ensuing monetary obligations are settled"
"cacbe3bd","ApplicationComponent","Service Catalog",""
"824f83e3","ApplicationComponent","ServiceNow",""
"cff50ff1","ApplicationComponent","SMAG Contract",""
"124cd2f7","ApplicationComponent","SMAG Snow App",""
"fa1d2739","ApplicationComponent","Usage","Can take actual usage into consideration when calculating the price of consuming a service."
"cefcbf8e","ApplicationComponent","Users module",""
"78ec8045","ApplicationComponent","Wallets module",""
"395f4fae","ApplicationComponent","Web Frontend",""
"94d77be2","ApplicationFunction","Accounting",""
"f4d2edfb","ApplicationFunction","Budgeting",""
"6dd1482b","ApplicationFunction","Calculate Bill",""
"f11ff7da","ApplicationFunction","Calculate Estimate",""
"9e25ae3e","ApplicationFunction","Calculate Invoice",""
"01cf09cd","ApplicationFunction","Calculate Task Deposit",""
"62831510","ApplicationFunction","Calculate Task Invoice",""
"ec94f979","ApplicationFunction","Chargeback/Showback FC","7.4.8 Chargeback/Showback Functional Component
Purpose
•  Provide chargeback or showback for internal and external services taking into account service Subscription and Usage information.
•  Break down chargeback or showback based on charge types such as CapEx/OpEx, direct/indirect, fixed/variable, and labor/non-labor, as well as by consumer or consumer groups.
•  Charge for IT services rendered based on the pricing model associated with the catalog item, this may also be implemented via showback (no actual billing or cross-charging), which helps the consumer become more IT cost-aware.
•  Trace chargeback or showback line items to individual cost drivers based on the cost model.
•  Consolidate IT service Subscription (right to use) and actual Usage as the usage may differ from the right to use.

The Chargeback/Showback functional component:
•  Shall provide the price of consuming/subscribing to a service.
•  Can take actual usage into consideration when calculating the price of consuming a service.
If an IT Financial Management component exists, the Chargeback/Showback functional component:
•  Can provide the necessary information in order for the IT Financial Management supporting function to produce invoices or bills for services rendered."
"fb5c1198","ApplicationFunction","Check Balance",""
"5ddd05ce","ApplicationFunction","Fund Wallet",""
"07ae79b9","ApplicationFunction","Get Price",""
"738b4602","ApplicationFunction","Settle Task",""
"2e9b00db","ApplicationFunction","Update Balance",""
"6457f10b","ApplicationInteraction","Submit service request",""
"4c522f1a","ApplicationInterface","API",""
"58889dce","ApplicationInterface","RPC Interface",""
"6ad71be9","ApplicationInterface","Web3 API",""
"131ac6bb","ApplicationInterface","Website",""
"6c7b5749","ApplicationService","Ethereum Webservice",""
"44a69c05","ApplicationService","Web Frontend",""
"617e2a37","ApplicationService","Webservice",""
"582f21cc","DataObject","Accounting Rules",""
"e715674f","DataObject","Bill",""
"1729b388","DataObject","Budget",""
"8e91bfb7","DataObject","Chargeback Contract","Details the financial obligations between the service consumer and provider(s). The Chargeback Contract typically defines the unit of measure (price) for a given service and is often tightly linked to Usage.
Key Attributes

The Chargeback Contract data object shall have the following key data attributes:
•  ChargebackContractID: Unique identifier for the Service Contract.
•  SubscriptionID: Link to the Subscription for which this Service Contract is instantiated (from Subscription).
Key Data Object Relationships

The Chargeback Contract data object shall maintain the following relationships:
•  Chargeback Contract to Subscription (n:1): This relationship provides the traceability between the service rendered (represented by the Subscription) and the expected charges for those services (described in the Chargeback Contract)."
